title,fulltext,prompt,authors_1,authors_2,authors_3,authors_4,authors_5,authors_6,authors_7,authors_8,meta_1,meta_2,meta_3,meta_4,meta_5,meta_6,meta_7,meta_8,url
EU-Kommission stellt Weichen für fairen und nach-haltigen Handel,"Der heute von der EU-Kommission vorgestellte Handelsstrategie ist ein großer Schritt hin zu modernen und fairen Handelsabkommen. Wir begrüßen insbesondere das Bekenntnis, die Nachhaltigkeitskapitel und deren Durchsetzung in künftigen Verträgen zu stärken.

Verena Hubertz, stellvertretende Fraktionsvorsitzende:

„Mit ihren Vorschlägen erfüllt die EU-Kommission die Erwartung der Sozialdemokratie und weiten Teilen der Zivilgesellschaft nach besseren Umwelt- und Menschrechtsschutz in Handelsabkommen. Wichtig ist, gemeinsam mit unseren Partnern Fahrpläne für eine bessere Durchsetzung zu entwickeln. Diese Fahrpläne müssen einen klaren Zeithorizont haben und verbindlich sein.""

Markus Töns, zuständiger Berichterstatter:

„Beim Handel stehen das Gemeinsame und Gespräche auf Augenhöhe im Vordergrund. Wir disziplinieren nicht, sondern entwickeln mit unseren Partnern Zukunftsperspektiven. Trotzdem ist es richtig, als letzte Möglichkeit bei Verstößen gegen internationale Arbeitsnormen oder das Pariser Abkommen auch Handelssanktionen zu verhängen. Mit ihren Vorschlägen leistet die EU-Kommission einen wichtigen Beitrag zu einer gerechteren und nachhaltigeren Handelspolitik. ""","Der heute von der EU-Kommission vorgestellte Handelsstrategie ist ein großer Schritt hin zu modernen und fairen Handelsabkommen. Wir begrüßen insbesondere das Bekenntnis, die Nachhaltigkeitskapitel und deren Durchsetzung in künftigen Verträgen zu stärken.",Verena Hubertz,", stellvertretende Fraktionsvorsitzende:",Markus Töns,", zuständiger Berichterstatter:",NA,NA,NA,NA,22.06.2022,20. Wahlperiode,155,Wirtschaft,"Verena Hubertz (Stellvertretende Fraktionsvorsitzende), Markus Töns","Wirtschaft, Europa",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/eu-kommission-stellt-weichen-fairen-haltigen-handel
Neuregelung des Energiewirtschaftsgesetz,"Markus Hümpfer, zuständiger Berichterstatter der SPD-Bundestagsfraktion; Ingrid Nestle, energiepolitische Sprecherin der Bündnis 90/Die Grünen; Konrad Stockmeier, zuständiger Berichterstatter der FDP-Bundestagsfraktion:

Die Berichterstatterinnen und Berichterstatter der Ampel-Fraktionen haben sich über die Novellierung des Energiewirtschaftsgesetzes geeinigt. Die Novelle regelt den schnelleren Ausbau der Erneuerbaren und stärkt die Rechte von Verbraucherinnen und Verbrauchern.

""Wir beschleunigen die Energiewende. Gemeinsam schaffen wir den Rahmen für die sichere Energieversorgung der Zukunft. Deshalb packen wir zentrale Gesetze an und bringen sie auf den Stand der Zeit. Verfahren verschlanken und digitalisieren wir. Zudem schreiben wir ein überragendes öffentliches Interesse für Wasserstoff- und Verteilnetze fest.

Für den schnellen Ausbau der Erneuerbaren und die Versorgungsicherheit müssen wir dringend auch den Ausbau der Stromnetze beschleunigen. Es sind weitere Gleichstromtrassen gesetzlich vorgesehen. Gleichzeitig ist es künftig leichter möglich, bestehende Stromleitungen höher auszulasten und effizient zu nutzen. Statt Erneuerbare Energien vor Netzengpässen abzuregeln, kann dieser grüne Strom nun auch günstig und regional genutzt und gespeichert werden. 

Auch für eine sichere und saubere Stromversorgung stellen wir die Weichen. Durch eine schnelle Übergangsregelung bei der Zertifizierung lösen wir den Stau bei der Inbetriebnahme von bereits gebauten Solaranlagen. Mit einer neuen Speicherdefinition ab Mitte 2023 machen wir den Weg frei für eine umfassende Speicherstrategie. Wir werden endlich die Potentiale von Lastverschiebung, Batteriespeichern und sonstigen Flexibilitätsoptionen an den Markt bringen.

Die Rechte der Verbraucherinnen und Verbraucher stärken wir. So werden Stromanbieter in Zukunft nicht mehr ohne weiteres ihre Verträge kurzfristig kündigen können. Um unerlaubte Preisabsprachen zu unterbinden, werden dem Bundeskartellamt künftig mehr Daten übermittelt, um die Preise an den Tankstellen besser prüfen zu können.""","Markus Hümpfer, zuständiger Berichterstatter der SPD-Bundestagsfraktion;
Ingrid Nestle, energiepolitische Sprecherin der Bündnis 90/Die Grünen;
Konrad Stockmeier, zuständiger Berichterstatter der FDP-Bundestagsfraktion:",Markus Hümpfer,", zuständiger Berichterstatter der SPD-Bundestagsfraktion;
Ingrid Nestle, energiepolitische Sprecherin der Bündnis 90/Die Grünen;
Konrad Stockmeier, zuständiger Berichterstatter der FDP-Bundestagsfraktion:",NA,NA,NA,NA,NA,NA,22.06.2022,20. Wahlperiode,154,Klimaschutz und Energie,Markus Hümpfer,"Klimaschutz, Energie",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/neuregelung-energiewirtschaftsgesetz
Innenausschuss diskutiert aktuelle Bedrohungslage,"Die neue Vizepräsidentin des Bundesamtes für Verfassungsschutz, Dr. Felor Badenberg, hat heute dem Ausschuss für Inneres und Heimat den Verfassungsschutzbericht 2021 vorgestellt. Die SPD-Bundestagsfraktion teilt ihre Einschätzung der Lage, auch zum Bedrohungspotential durch den Rechtsextremismus.

Sebastian Hartmann, innenpolitischer Sprecher:

„Wir gratulieren der Vizepräsidentin zur neuen Aufgabe und sind uns sicher, dass Frau Dr. Badenberg als bisherige Leiterin der Abteilung Rechtsextremismus und -terrorismus die richtige Frau in dieser Position ist. Die von ihr heute dargestellte extremistische Bedrohungslage in Deutschland halten wir nach wie vor für sehr besorgniserregend. Wir stimmen mit ihr überein, dass der Rechtsextremismus die größte Gefahr in unserem Land ist, gerade auch weil die rechte Szene extrem gewaltorientiert und bis an die Zähne bewaffnet ist.
Wir werden konsequent das Aktionsprogramm gegen Rechtsextremismus unserer Bundesinnenministerin Nancy Faeser umsetzen und damit zur Zerschlagung rechter Netzwerke einen erheblichen Teil beitragen. Das ist umso wichtiger, als deren Ideologie in der Coronaleugner-Szene oder bei Verschwörungstheoretikern einen fruchtbaren Nährboden gefunden und dort Mitstreiterinnen und Mitstreiter rekrutiert hat.“

Uli Grötsch, zuständiger Berichterstatter:

„In den nächsten Jahren wird das Bundesamt für Verfassungsschutz daher zu Recht einen Schwerpunkt auf die neue Kategorie ‚Verfassungsschutzrelevante Delegitimierung des Staates‘ legen, um die Radikalisierung in diesem Phänomenbereich sichtbar zu machen.

Vor allem auch die Zunahme von Cyberangriffen und Spionageaktivitäten insbesondere im Zusammenhang mit dem Krieg in der Ukraine ist äußerst beunruhigend. Wir werden sehr zügig Maßnahmen zur Stärkung unserer Cyber-Resilienz und unserer Sicherheitsbehörden ergreifen, um unsere Netze, kritische Infrastrukturen und die deutsche Wirtschaft sicherer zu machen.“","Die neue Vizepräsidentin des Bundesamtes für Verfassungsschutz, Dr. Felor Badenberg, hat heute dem Ausschuss für Inneres und Heimat den Verfassungsschutzbericht 2021 vorgestellt. Die SPD-Bundestagsfraktion teilt ihre Einschätzung der Lage, auch zum Bedrohungspotential durch den Rechtsextremismus.",Sebastian Hartmann,", innenpolitischer Sprecher:",Uli Grötsch,", zuständiger Berichterstatter:",NA,NA,NA,NA,22.06.2022,20. Wahlperiode,153,Inneres,"Sebastian Hartmann, Uli Grötsch","Innenpolitik, Rechtsextremismus",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/innenausschuss-diskutiert-aktuelle-bedrohungslage
Investitionen in Forschung und Entwicklung zahlen sich aus,"Holger Mann, zuständiger Berichterstatter:

Das Bundeskabinett beschließt heute den Bundesbericht Forschung und Innovation 2022 (BuFI). Alle zwei Jahre gibt er Auskunft über die Leistungsfähigkeit des deutschen Forschungs- und Innovationssystems in Bund und Ländern im internationalen Kontext.

„Die Covid-19-Pandemie zeigt, wie wertvoll das deutsche Wissenschafts- und Forschungssystem ist. Deutsche Wissenschaftlerinnen und Wissenschaftler und Forscherinnen und Forscher konnten innerhalb kürzester Zeit durch richtungsweisende Erkenntnisse über das Virus zur Behandlung der Krankheit und – besonders prominent – zur Versorgung mit Impfstoffen beitragen.

Aber die finanziellen Folgen der Pandemie sind auch in der Forschungslandschaft zu spüren. Der Anteil der gesamtstaatlichen Ausgaben für Forschung und Entwicklung (FuE) lag 2020 bei 3,14 Prozent des BIP und ist damit pandemiebedingt im Vergleich zu 2018 nur minimal angestiegen. Dabei hat der Staat seinen Finanzierungsanteil 2020 deutlich gesteigert, auch um den Rückgang privater Investitionen in der Pandemie auszugleichen.

Das Ziel, bis 2025 eine FuE-Quote von 3,5 Prozent des BIP zu erreichen, haben wir fest im Blick. Dafür haben wir uns in der Koalition auf die weitere Stärkung von Hochschulen und Wissenschaft verständigt. Wir brauchen aber zukünftig auch wieder mehr Forschungsanstrengungen der Wirtschaft und eine klare Innovationsorientierung.

Forschung und Innovation sind der Schlüssel für die Zukunftsfähigkeit unserer Gesellschaft. Wir brauchen vielfältige Perspektiven und Lösungsideen. Mit sechs Forschungsmissionen haben wir im Koalitionsvertrag festgehalten, welche Forschungsbedarfe aus unserer Sicht für die Zukunft und den Zusammenhalt unserer Gesellschaft entscheidend sein werden. Als SPD-Fraktion freuen wir uns darauf, diese Missionen im Prozess mit dem Bundesministerium für Bildung und Forschung zeitnah mit Leben zu füllen.“","Holger Mann, zuständiger Berichterstatter:",Holger Mann,", zuständiger Berichterstatter:",NA,NA,NA,NA,NA,NA,22.06.2022,20. Wahlperiode,152,Bildung und Forschung,Holger Mann,"Forschung, Bildung, Entwicklungspolitik",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/investitionen-forschung-entwicklung-zahlen
Petitionen sollen einfacher und einflussreicher werden,"Axel Echeverria, petitionspolitischer Sprecher:

Der Jahresbericht des Petitionsausschusses des Jahres 2021 zeigt deutlich: Das Deutsche Petitionswesen lebt. Mit 11.667 sind die eingegangenen Petitionen auf stabilem Niveau, trotz der für die Bürgerinnen und Bürger herausfordernden Zeit. Es ist trotzdem richtig, dass sich die Ampelkoalition auf den Weg gemacht hat, das Petitionswesen zu reformieren. Ziel ist, es für Bürgerinnen und Bürger attraktiver und einfacher zu machen eine Petition zu unterstützen.

„Wir von der SPD-Bundestagsfraktion wollen Petitionen niedrigschwelliger machen und ihnen im parlamentarischen Prozess mehr Gewicht verleihen. Dafür bedarf es drei entscheidender Veränderungen: wir brauchen einen vereinfachteren Zugang zum Petitionswesen, die Bearbeitungszeit von Petitionen muss verkürzt werden und wir fordern eine beauftragte Person der Bundesregierung für Bürgerinnen und Bürger.

Inzwischen werden 42 Prozent aller Petitionen online eingereicht. Darüber hinaus sind auf der Petitionsplattform des Deutschen Bundestag 330.000 Neuanmeldungen zu verzeichnen. Das zeigt, dass die Bürgerinnen und Bürger bereit sind, E-Petitionen zu nutzen. Trotzdem müssen wir den Zugang zu Petitionen weiter erleichtern. Es darf keine Hürden geben, um an der Diskussion teilzunehmen oder eine Petition mitzuzeichnen.

Außerdem muss es für Bürgerinnen und Bürger deutlicher erkennbar werden, dass ihre Anliegen ernst genommen werden. Die Bearbeitungszeit von Petitionen sollte deutlich verkürzt werden. Das ist die Aufgabe des Ausschusses. Bürgerinnen und Bürger fordern zu Recht, dass sie über den Verbleib und das Fortkommen ihres Anliegens informiert bleiben.

Schließlich darf nicht der Eindruck entstehen, dass es sich beim Petitionsausschuss um eine Art nationalen Kummerkasten handelt, der neben dem Regierungshandeln besteht. Deshalb fordern wir als SPD-Bundestagsfraktion schon lange, dem Petitionswesen durch eine Beauftragte Person auch in der Regierung ein Gesicht zu geben. Durch eine direkte Ansprechpartnerin oder einen direkten Ansprechpartner für Bürgerinnen und Bürger über die Wahlkreisabgeordneten hinaus wollen wir das Vertrauen in das Petitionswesen stärken.

Als Ampel wollen wir, dass der Petitionsausschuss endlich die Stellung und den Einfluss erhält, der ihm aufgrund seines Verfassungsranges zusteht.“","Axel Echeverria, petitionspolitischer Sprecher:","Axel Echeverria, ",petitionspolitischer Sprecher:,NA,NA,NA,NA,NA,NA,22.06.2022,20. Wahlperiode,151,Petitionen,Axel Echeverria,Petitionen,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/petitionen-einfacher-einflussreicher
Kandidatenstatus für Moldau und Ukraine: Wichtiger Schritt auf einem langen Weg,"Christian Petry, europapolitischer Sprecher:

Mit der Empfehlung des Kandidatenstatus für Moldau und die Ukraine hat sich die Europäische Kommission für einen richtigen und wichtigen Schritt hin zu einem einigen Europa ausgesprochen. Für uns ist klar: Beide Länder gehören in die Europäische Familie – und können in diesen Zeiten der schweren Not auf die Unterstützung der EU bauen.

„Nun müssen weitere Schritte folgen, denn der Weg der Europäischen Integration ist noch lang. Wir dürfen bei allem notwendigen Fokus auf die Folgen des russischen Krieges gegen die Ukraine andere Regionen in der Nachbarschaft zur EU nicht aus dem Auge verlieren. Deshalb ist es gut, dass auch Georgien eine Perspektive hin zum Kandidatenstatus vermittelt wurde, verbunden mit konkreten Reformbedingungen. Das schafft Orientierung.

Besondere Aufmerksamkeit gebührt aber Nordmazedonien und Albanien, denn beide haben es durch deutliche Reformanstrengungen eigentlich längst verdient, dass die erste Beitrittskonferenz abgehalten wird. Das wäre ein starkes Zeichen dafür, dass man den Weg nicht aus dem Blick verloren hat und der Westliche Balkan weiter auf der europäischen Agenda steht. Aber auch mit der Gewährung der Visafreiheit für den Kosovo, der noch kein Beitrittskandidat ist, kann ein solches Zeichen gesetzt werden.

Aber Reformbedarf hat auch die Europäische Union selbst. Schon ohne neue Mitglieder mangelt ihr es gegenwärtig an Handlungsfähigkeit. Die ständigen Erpressungsversuche, wenn es Einstimmigkeit unter den Mitgliedstaaten braucht, sind ein drastisches Anzeichen dafür. Die Zukunftskonferenz hat wertvolle Impulse geliefert, wie die EU fit gemacht werden kann, die vor ihr liegenden enormen Herausforderungen zu bewältigen.“","Christian Petry, europapolitischer Sprecher:",Christian Petry,", europapolitischer Sprecher:",NA,NA,NA,NA,NA,NA,17.06.2022,20. Wahlperiode,150,Angelegenheiten der Europäischen Union,Christian Petry,Europa,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/kandidatenstatus-moldau-ukraine-wichtiger-schritt-langen-weg
Maßnahmen für Wohnungsbau schnell umsetzen,"Bernhard Daldrup, wohnungsbaupolitischer Sprecher:

Heute hat das Statistische Bundesamt die Zahlen der aktuellen Baugenehmigungen im Vergleich zum Vorjahresmonat veröffentlicht. Während die Baugenehmigungen bei den Einfamilienhäusern drastisch zurückgehen (minus 22 Prozent), steigt die Zahl der Baugenehmigungen bei Mehrfamilienhäusern (plus 11,6 Prozent).

„Die Zahlen sind ambivalent, zeigen aber auch, dass der Wohnungsneubau vor allem in den Städten weiter auf hohem Niveau läuft. Dennoch: Insgesamt ist die Zahl genehmigter Wohnungen von Januar bis April 2022 um 1,5 Prozent niedriger als im Vorjahreszeitraum.

Die Rahmenbedingungen der Zeitenwende schlagen auch auf den Wohnungsmarkt durch. Unterbrochene Lieferketten, steigende Preise, Rohstoffknappheit und der Ukraine-Krieg verstärken die Herausforderungen der Bauwirtschaft, die ohnehin mit steigenden Baukosten und Fachkräftemangel zu kämpfen hat. Auch die Zinsentwicklung hinterlässt erste Spuren.

Der Wohnungsneubau bleibt eine von mehreren Antworten auf den Wohnungsmangel vor allem in den Ballungszentren Deutschlands. Mit der Verdreifachung der Mittel für den sozialen Wohnungsbau hat die Bundesregierung für den Bau preiswerter Wohnungen ein wichtiges Signal gesetzt, das die Länder jetzt umsetzen müssen. Neben kurzfristigen Hilfen wie der Preisgleitklausel brauchen wir Klarheit bei der Wohnungsbauförderung und Entscheidungen über schnellere Verfahren. Wir schieben bereits aus der Vergangenheit eine große Zahl von Bauüberhängen vor uns her – also genehmigten, aber nicht umgesetzten Bauvorhaben. Politik, Bau- und Immobilienwirtschaft sind gleichermaßen gefordert, die erkennbaren Hürden abzubauen. Der Koalitionsvertrag enthält die Maßnahmen, die wir schon auf den Weg gebracht haben oder die zeitnah in Angriff genommen werden müssen.“","Bernhard Daldrup, wohnungsbaupolitischer Sprecher:",Bernhard Daldrup,", wohnungsbaupolitischer Sprecher:",NA,NA,NA,NA,NA,NA,17.06.2022,20. Wahlperiode,149,"Wohnen, Stadtentwicklung, Bauwesen und Kommunen",Bernhard Daldrup,"Mieten und Wohnen, Kommunalpolitik, Bauen und Stadtentwicklung",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/massnahmen-wohnungsbau-schnell-umsetzen
Treffen der G7-Staaten betont Bedeutung freier Medien,"Helge Lindh, medienpolitischer Sprecher der SPD-Bundestagsfraktion; Erhard Grundl, medienpolitischer Sprecher der Bündnis 90/Die Grünen; Thomas Hacker, medienpolitischer Sprecher der FDP-Bundestagsfraktion:

Am 19. Juni kommen erstmals die Medienministerinnen und -minister unter der deutschen G7-Präsidentschaft zusammen. Für Deutschland nimmt die Staatsministerin für Kultur und Medien, Claudia Roth, teil. Aus diesem Anlass betonen die medienpolitischen Sprecher der SPD-Bundestagsfraktion, von Bündnis 90/Die Grünen und der FDP-Bundestagsfraktion die Bedeutung freier Medien. Sie unterstützen die Schaffung einer europäischen Medienplattform sowie das Amt einer oder eines UN-Sonderbeauftragten zum Schutz von Medienschaffenden.

„Erstmals ist Medienpolitik ein selbstständiges Themenfeld auf Ebene der G7-Staaten. Das begrüßen wir ausdrücklich, denn demokratische Gesellschaften brauchen weltweit freie und unabhängige Medien.

Vereint in den demokratischen Werten von Freiheit, Menschenrechten und Rechtsstaatlichkeit stehen wir für eine internationale, demokratiesichernde Medienpolitik. So ist das Prinzip staatsfreier Medien eine wesentliche Voraussetzung demokratischer Gesellschaften. Globale Plattformen müssen mehr Verantwortung über-nehmen, etwa um freie und unabhängige Debatten und Meinungsfreiheit im Netz zu gewährleisten. Daher unterstützen wir gemeinsam mit den Bundesländern den Aufbau einer unabhängigen europäischen Medienplattform.

Zudem machen wir uns für ein vielfältiges Mediensystem stark und bekämpfen Medienmanipulation, Zensur sowie Hass und Hetze. Nur umfassend und vielfältig informierte Bürgerinnen und Bürger sind mündige Bürgerinnen und Bürger.

Wir sehen es am völkerrechtswidrigen Angriffskrieg auf die Ukraine: Desinformation und Hassrede gefährden den Dialog und sind ein Angriff auf unsere Demokratien. Deshalb ist es wichtig, dass offene Gesellschaften sich informiert Meinungen bilden können und wehrhaft sind.

Um Medienschaffenden international in diesen Krisenzeiten eine Ansprechpartnerin oder einen Ansprech-partner und mehr Sicherheit zu geben, wollen wir das Amt einer oder eines UN-Sonderbeauftragten zum Schutz von Medienschaffenden einrichten.“","Helge Lindh, medienpolitischer Sprecher der SPD-Bundestagsfraktion;
Erhard Grundl, medienpolitischer Sprecher der Bündnis 90/Die Grünen;
Thomas Hacker, medienpolitischer Sprecher der FDP-Bundestagsfraktion:",Helge Lindh,", medienpolitischer Sprecher der SPD-Bundestagsfraktion;
Erhard Grundl, medienpolitischer Sprecher der Bündnis 90/Die Grünen;
Thomas Hacker, medienpolitischer Sprecher der FDP-Bundestagsfraktion:",NA,NA,NA,NA,NA,NA,17.06.2022,20. Wahlperiode,148,Kultur und Medien,Helge Lindh,"Kultur, Medien",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/treffen-g7-staaten-betont-bedeutung-freier-medien
"Flugausfälle vermeiden, Reisende schützen, Personalmangel beenden ","Zurzeit blicken viele Flugpassagiere vor den Sommerferien sorgenvoll auf ihre Reise, weil aufgrund zahlreicher Flugausfälle unklar ist, ob und wann das gewünschte Ziel erreicht werden kann. Die SPD-Bundestagsfraktion appelliert an die Luftverkehrswirtschaft, eine zuverlässige Beförderung sicherzustellen.

Anja Troff-Schaffarzyk, zuständige Berichterstatterin:

„Wenn keine höhere Gewalt vorliegt, müssen Leistungen erbracht werden, die bezahlt wurden. Personalmangel gehört nicht zu den unabsehbaren Umständen. Die in der Luftfahrt häufig schwierigen Arbeitsbedingungen und schlechte Bezahlung sind lange bekannt. Durch die berufliche Unsicherheit und massive Kurzarbeit durch Corona haben viele Arbeitnehmende die Branche verlassen. Sie werden nur zurückkehren, wenn sich die Rahmenbedingungen verbessern. Erst dann haben Initiativen zur Neugewinnung von Personal Erfolg. Kurzfristig müssen die Fluggesellschaften sicherstellen, dass sie die Transportleistungen für bereits verkaufte Tickets und einen stabilen Betrieb erbringen können.“

Nadine Heselhaus, zuständige Berichterstatterin:

„Nach zwei Jahren Pandemie wollen die Menschen wieder verreisen. Flughafenbetreiber, Dienstleister und Airlines sollten alles tun, um die Erwartungen nicht zu enttäuschen. Vor allem aber sollten sie Versuche unterlassen, Reisenden ihre Rechte vorzuenthalten. Kommt es etwa zu kurzfristigen Flugannullierungen oder Verspätungen von mehr als drei Stunden, besteht nach der EU-Fluggastrechteverordnung Anspruch auf Entschädigung. Es ist wichtig, dass Verbraucherinnen und Verbraucher ihre Rechte kennen und diese dann auch geltend machen.“","Zurzeit blicken viele Flugpassagiere vor den Sommerferien sorgenvoll auf ihre Reise, weil aufgrund zahlreicher Flugausfälle unklar ist, ob und wann das gewünschte Ziel erreicht werden kann. Die SPD-Bundestagsfraktion appelliert an die Luftverkehrswirtschaft, eine zuverlässige Beförderung sicherzustellen.",Anja Troff-Schaffarzyk,", zuständige Berichterstatterin:","Nadine Heselhaus, ",zuständige Berichterstatterin:,NA,NA,NA,NA,10.06.2022,20. Wahlperiode,147,"Verkehr, Verbraucherpolitik","Anja Troff-Schaffarzyk, Nadine Heselhaus","Verkehr, Verbraucherschutz",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/flugausfaelle-vermeiden-reisende-schuetzen-personalmangel-beenden
Deutschland muss Vorreiter in der Mobilitätswende bleiben,"Das Europäische Parlament hat sich mit Stimmen der S&D-Fraktion für das faktische Ende des Verbrennungsmotors zum Jahr 2035 ausgesprochen. Das beschlossene Dossier ist ein wesentlicher Teil des Green Deals der Europäischen Kommission im Rahmen des Paktes Fit-for-55. Ab dem Jahr 2035 werden ausschließlich PKW und leichte Nutzfahrzeuge bis zu einem Gesamtgewicht von 3,5 Tonnen zugelassen, die zu 100 Prozent emissionsneutral betrieben werden. 

Dorothee Martin, verkehrspolitische Sprecherin:
„Die EU macht mit dem Beschluss einen wichtigen Schritt zur Erreichung des Zieles, bis 2050 klimaneutral zu sein. Das Gesetzgebungsverfahren wird im Herbst voraussichtlich abgeschlossen. Wir erwarten für diese Vorschläge eine Mehrheit im Europäischen Rat. Jetzt sind wir in der Pflicht, zügig die notwendige Ladeinfrastruktur europaweit auszubauen. Das zugehörige Dossier zum Aufbau einer Infrastruktur für alternative Kraftstoffe wird derzeit im Europaparlament verhandelt und steht im Sommer zur Abstimmung. In Deutschland ist derzeit der Masterplan Ladeinfrastruktur II in Planung, der den Ausbau in Deutschland deutlich voranbringen wird. Die deutsche Automobilindustrie muss Vorreiterin bei der Antriebswende bleiben. Um dies zu unterstützen, schaffen wir im Inland die notwendige Infrastruktur und die richtigen Rahmenbedingungen, um dies mit zu ermöglichen.“ 

Isabel Cademartori, zuständige Berichterstatterin:
„Wir begrüßen den Entschluss des Europaparlaments außerordentlich. Besonders hervorzuheben ist, dass es gelungen ist, den Vorschlag auch ohne Zwischenziele besonders ambitioniert zu fassen. Das gibt Rückenwind für die im Koalitionsvertrag vereinbarten Schritte zu einem entsprechenden schnelleren Wandel hier in Deutschland. Damit steht die Richtung eindeutig fest: Die Zukunft gehört der Elektromobilität. Jetzt gilt es, die Position des EU-Parlaments auch mit den Mitgliedsstaaten zu verhandeln und die Antriebswende in der Automobilindustrie europaweit erfolgreich zu vollziehen.“","Das Europäische Parlament hat sich mit Stimmen der S&D-Fraktion für das faktische Ende des Verbrennungsmotors zum Jahr 2035 ausgesprochen. Das beschlossene Dossier ist ein wesentlicher Teil des Green Deals der Europäischen Kommission im Rahmen des Paktes Fit-for-55. Ab dem Jahr 2035 werden ausschließlich PKW und leichte Nutzfahrzeuge bis zu einem Gesamtgewicht von 3,5 Tonnen zugelassen, die zu 100 Prozent emissionsneutral betrieben werden. ",Dorothee Martin,", verkehrspolitische Sprecherin:",Isabel Cademartori,", zuständige Berichterstatterin:",NA,NA,NA,NA,09.06.2022,20. Wahlperiode,146,Verkehr,"Dorothee Martin, Isabel Cademartori",Verkehr,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/deutschland-muss-vorreiter-mobilitaetswende-bleiben
Wir erhöhen die Erwerbsminderungsrenten,"Martin Rosemann, arbeits- und sozialpolitischer Sprecher: 

Wer bereits seit längerer Zeit Erwerbsminderungsrente bezieht, erhält ab Juli 2024 eine deutliche Erhöhung der Rentenzahlungen. Von diesen Anpassungen der Erwerbsminderungsrenten im Bestand werden rund drei Millionen Menschen profitieren. 

„Die SPD-Fraktion im Bundestag hat sich erfolgreich dafür stark gemacht, Erhöhungen für Erwerbsminderungsrenten im Bestand im Koalitionsvertrag festzulegen. Dass dieses wichtige Projekt nun umgesetzt wird, bedeutet eine spürbare Entlastung für diejenigen, die schon lange erwerbsgemindert sind. Und es schließt eine bestehende Gerechtigkeitslücke, die auch in vielen Bürgerbriefen immer wieder beklagt wurde. 

Die Erhöhungen berechnen sich nach dem Eintritt in die Erwerbsminderungsrente: Wer zwischen Januar 2001 und Juni 2014 in Erwerbsminderung getreten ist, erhält ab Juli 2024 7,5 Prozent mehr Rente. Für diejenigen, die zwischen Juli 2014 und Dezember 2018 erstmalig Erwerbsminderungsrente bezogen hat, gilt eine Erhöhung von 4,5 Prozent der bisherigen Sätze. Diejenigen Rentnerinnen und Rentner, die danach in Erwerbsminderungsrente getreten sind, profitierten bereits von Rentenerhöhungen in der Vergangenheit. Diejenigen, die vor 2001 in die Erwerbsminderungsrente gegangen sind, beziehen diese ohne Abschläge, daher fällt die Rente ohnehin höher aus.“","Martin Rosemann, arbeits- und sozialpolitischer Sprecher: ","Martin Rosemann, ",arbeits- und sozialpolitischer Sprecher:,NA,NA,NA,NA,NA,NA,03.06.2022,20. Wahlperiode,145,Arbeit und Soziales,Dr. Martin Rosemann,"Rente, Arbeit, Soziales",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/wir-erhoehen-erwerbsminderungsrenten-0
