title,fulltext,prompt,authors_1,authors_2,authors_3,authors_4,authors_5,authors_6,authors_7,authors_8,authors_9,meta_1,meta_2,meta_3,meta_4,meta_5,meta_6,meta_7,meta_8,url
Mietsteigerungen weiter begrenzen,"Johannes Fechner, rechts- und verbraucherpolitischer Sprecher;Michael Groß, zuständiger Berichterstatter:

Der Deutsche Bundestag diskutiert heute über bezahlbares Wohnen. Statt Politik mit der Gießkanne zu betreiben, fordert die SPD-Bundestagsfraktion Instrumente, die Mietsteigerungen nachhaltig begrenzen.

„Mit der Einführung und Verschärfung der Mietpreisbremse, der Umsetzung des Bestellerprinzips, der Beteiligung des Bundes am Bau von Wohnungen mit sozialer Bindung, der Einführung einer Kappungsgrenze bei Modernisierungen oder auch der Etablierung des Baukindergeldes hat die SPD starke Akzente für die soziale Funktion des Mietrechts und für bezahlbares Wohnen gesetzt. Damit konnte der rasante Mietenanstieg der vergangenen Jahre in Regionen mit angespanntem Wohnungsmarkt erstmals gebremst werden.

Dennoch gibt es viele Familien und ältere Menschen, die bis zur 50 Prozent ihres Einkommens für die Miete ausgeben müssen. Neben dem Bau von bezahlbaren Wohnungen brauchen wir weitere Instrumente, die die Mieten im Bestand bezahlbar halten. Auf Basis der Beschlusslage der SPD-Bundestagsfraktion fordern wir daher, die derzeitigen Regelungen zur Kappungsgrenze im Bürgerlichen Gesetzbuch anzupassen. Wir wollen eine Öffnungsklausel, die es den Ländern ermöglicht, die Kappungsgrenzen von 20 beziehungsweise 15 Prozent für einen Zeitraum von bis zu 6 Jahren entweder orientiert an der Inflationsrate oder bis zu einer Höhe von bis zu sechs Prozent absenken zu können.

343 Städte nutzen bereits die aktuelle Sonderreglung, die Kappungsgrenze auf 15 Prozent innerhalb von drei Jahren reduzieren zu können. Das zeigt, dass in vielen Regionen mit angespanntem Wohnungsmarkt nach wie vor ein hoher Bedarf an Preissenkung besteht. Auswertungen zeigen, dass die finanzielle Überforderung durch zu hohe Mieten nicht nur in Großstädten mit angespannten Wohnungsmärkten anzutreffen ist, sondern auch in Regionen, in denen Einkommen und Renten niedrig sind. Mit der erweiterten Öffnungsklausel für die Länder wollen wir eine weitere spürbare Entlastung für die Mieterinnen und Mieter erreichen. Wohnen ist Grundrecht und muss dauerhaft bezahlbar bleiben. CDU und CSU müssen sich an dieser Stelle endlich bewegen und einen starken Schutz von Mieterinnen und Mietern ermöglichen.“","Johannes Fechner, rechts- und verbraucherpolitischer Sprecher;Michael Groß, zuständiger Berichterstatter:",Johannes Fechner,", rechts- und verbraucherpolitischer Sprecher;Michael Groß, zuständiger Berichterstatter:",NA,NA,NA,NA,NA,NA,NA,13.05.2020,19. Wahlperiode,132,Recht und Verbraucherschutz,"Dr. Johannes Fechner, Michael Groß","Verbraucherschutz, Mieten und Wohnen",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/mietsteigerungen-begrenzen
Bundesbericht Forschung und Innovation - hohes Niveau in Deutschland,"René Röspel, zuständiger Berichterstatter:

Das Bundeskabinett hat heute den Bundesbericht Forschung und Innovation (BuFI) beschlossen. Der Bericht wird alle zwei Jahre vorgelegt und informiert über die Leistungsfähigkeit des deutschen Forschungs- und Entwicklungssystems (FuE).

„Deutschland verfolgt seit Jahren eine konsequente Forschungs- und Innovationspolitik: Als Volkswirtschaft mit den weltweit vierthöchsten Investitionen in FuE sind wir einer der angesehensten Wissenschaftsstandorte überhaupt. 105 Milliarden Euro – 3,13 Prozent der Wirtschaftsleistung – sind 2018 in FuE geflossen. Das wichtige Ziel, bis 2025 3,5 Prozent des Bruttoinlandsproduktes in FuE zu investieren, rückt damit näher.

Das hohe Ansehen der deutschen Wissenschaft ist das Ergebnis sozialdemokratischer Forschungspolitik. Der von der SPD initiierte Pakt für Forschung und Innovation trägt seit 2006 massiv zum internationalen Erfolg Deutschlands – etwa, weil Wissenschaftlerinnen und Wissenschaftler außeruniversitärer Forschungseinrichtungen eine langfristige finanzielle Planungssicherheit haben. Auch dank der mit Hilfe der SPD-Fraktion kontinuierlich weiterentwickelten Hightech-Strategie des Bundes ist es gelungen, eine verlässliche FuE-Politik zu etablieren.

Die Innovationsfähigkeit des Landes ist eng mit den herausragenden Leistungen der Forscherinnen und Forscher verbunden: Rund 700.000 Menschen arbeiten Vollzeit im FuE-Bereich und treiben die Zukunftsfähigkeit Deutschlands voran. Das ist seit 2006 eine Steigerung um 45 Prozent. Wie wichtig das ist, zeigt die Corona-Krise: Deutsche Forscherteams sind in der Bekämpfung der Pandemie und bei der Entwicklung von Medikamenten und Impfstoffen weltweit gefragt und anerkannt. Auf unvorhersehbare Ereignisse flexibel und wissenschaftlich fundiert zu reagieren, zeichnet unsere Forschungslandschaft aus.“","René Röspel, zuständiger Berichterstatter:",René Röspel,", zuständiger Berichterstatter:",NA,NA,NA,NA,NA,NA,NA,13.05.2020,19. Wahlperiode,131,Bildung und Forschung,René Röspel,"Forschung, Bildung",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/bundesbericht-forschung-innovation-hohes-niveau-deutschland
Öffentlichkeitsbeteiligung während Corona-Krise sichergestellt,"Mahmut Özdemir, zuständiger Berichterstatter:

Der Innenausschuss des Deutschen Bundestages hat heute mit dem Planungssicherstellungsgesetz beschlossen, dass viele Planungs- und Genehmigungsverfahren und Entscheidungsverfahren auch weiterhin während der Corona-Krise mit Beteiligung der Öffentlichkeit durchgeführt werden können.

„Wir gewährleisten mit dem Planungssicherstellungsgesetz, dass die Öffentlichkeit auch während der Corona-Krise beteiligt wird, wenn Unternehmen ihre Vorhaben beispielsweise nach dem Bundes-Immissionsschutzgesetz, nach dem Baugesetzbuch oder auch dem Kreislaufwirtschaftsgesetz planen. Statt die Unterlagen nur zur Einsichtnahme auszulegen, ermöglichen wir künftig auch befristet auf die Krisen-zeit die Veröffentlichung im Internet, so dass die Bürgerinnen und Bürger auch auf elektronischem Weg eine Erklärung zu dem Vorhaben abgeben können. Auch Online-Konsultationen können künftig stattfinden. Unternehmen können sich dabei auch weiterhin auf den Schutz von Geheimnissen durch die Rechtsordnung verlassen.

Wir sammeln damit wichtige Erfahrungen für die weitere Digitalisierung der Bürgerbeteiligung, die wir wenn möglich auch nach der Krise weiter nutzen können. Wir wollen nach der Krise prüfen, wo die Erleichterungen des Informationszugangs in geeigneter Weise ergänzt werden können, um die barrierefreie Teilhabe weiter zu verbessern.“","Mahmut Özdemir, zuständiger Berichterstatter:",Mahmut Özdemir,", zuständiger Berichterstatter:",NA,NA,NA,NA,NA,NA,NA,13.05.2020,19. Wahlperiode,130,Inneres,Mahmut Oezdemir (Duisburg),Innenpolitik,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/oeffentlichkeitsbeteiligung-waehrend-corona-krise-sichergestellt
Schutz vor Übernahmen: Bundestag berät Reform des Außenwirtschaftsgesetzes,"Bernd Westphal, wirtschaftspolitischer Sprecher;Markus Töns, zuständiger Berichterstatter:

Der Ausschuss für Wirtschaft und Energie im Deutschen Bundestag hat heute in einer öffentlichen Anhörung das Erste Gesetz zur Änderung des Außenwirtschaftsgesetzes beraten. Das Gespräch mit den Sachverständigen hat gezeigt: Der Schutz kritischer Technologien ist wichtig und nur europäisch möglich. Das novellierte Außenwirtschaftsgesetz setzt deshalb an der richtigen Stelle an.

„Die heutige Sachverständigenanhörung hat gezeigt, wie wichtig der effektive Schutz unserer sicherheitskritischen Technologien ist. Gerade in der Corona-Krise sind gezielte Übernahmen im Hochtechnologiebereich besonders attraktiv. Hier muss der Staat entschieden eingreifen können. Dabei geht es nicht um Protektionismus, sondern um unsere langfristigen Sicherheitsinteressen. Dazu gehört insbesondere der Erhalt unserer technologischen Souveränität.

Ein effektiver Schutz unserer technologischen Souveränität ist nur europäisch möglich. Deshalb setzt der Gesetzentwurf der Koalitionsfraktionen an der richtigen Stelle an: Wir schaffen einen Kooperationsmechanismus, damit sich die Bundesregierung künftig noch enger mit europäischen Partnern abstimmen kann. Das stärkt unseren Zusammenhalt und unsere gemeinsame Sicherheit.

Die Expertinnen und Experten bestätigen, dass Deutschland auch nach der Novelle des Außenwirtschaftsgesetzes einer der offensten Investitionsstandorte weltweit bleibt. Wir stellen sicher, dass diese Offenheit erhalten bleibt und das Schutzniveau den Herausforderungen unserer Zeit entspricht. Am Ende wird ein ausgewogenes Paket stehen, das sowohl unsere Wirtschafts- als auch unsere Sicherheitsinteressen angemessen berücksichtigt.“","Bernd Westphal, wirtschaftspolitischer Sprecher;Markus Töns, zuständiger Berichterstatter:",Bernd Westphal,", wirtschaftspolitischer Sprecher;Markus Töns, zuständiger Berichterstatter:",NA,NA,NA,NA,NA,NA,NA,13.05.2020,19. Wahlperiode,129,Wirtschaft und Energie,"Bernd Westphal, Markus Töns",Wirtschaft,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/schutz-uebernahmen-bundestag-beraet-reform-aussenwirtschaftsgesetzes
"Positionspapier: Konkrete Hilfe für Kunst, Kultur und Medien in der Corona-Pandemie","Martin Rabanus, kultur- und medienpolitischer Sprecher:

Die SPD-Bundestagsfraktion hat am 12. Mai 2020 ein Positionspapier für konkrete Hilfen für Kultur- und Medienschaffende beschlossen. Es enthält vielfältige Unterstützungsangebote und ist eine wichtige Ergänzung zu bestehenden Programmen.

„Kunst, Kultur und Medien haben eine enorme Bedeutung für unsere lebendige Demokratie. Wir wollen, dass Künstlerinnen und Künstler, Kreative und Kultur- und Medienschaffende in dieser extremen Krisenzeit unterstützt werden und ihre künstlerische und kreative Tätigkeit nach der Corona-Pandemie bestmöglich fortsetzen können.

Mit unserem Positionspapier plädieren wir für nachhaltige Lösungen rund um die soziale Absicherung von Kultur- und Medienschaffenden und für Soforthilfen für den kurzfristigen Bedarf.

Unsere Vorschläge ergänzen die Programme und Hilfen, die der Deutsche Bundestag und die Bundesländer bereits auf den Weg gebracht haben. Weitere Hilfsprogramme der Länder halten wir darüber hinaus für unverzichtbar.

Unser Ziel ist die Unterstützung für Kulturschaffende mit befristeten Arbeitsverträgen. Denn freiberufliche Tätigkeit und kurze abhängige Beschäftigung wechseln sich in Kunst und Kultur oft ab.

Um das Fortbestehen von Kultureinrichtungen zu sichern plädieren wir unter anderem für eine Notfallhilfe für Musikclubs sowie eine Hilfe für kleine und mittlere Festivals. Wir wollen Kinos als Kulturorte und soziale Begegnungsstätten durch einen Fonds zum Erhalt der Kinoinfrastruktur sichern und die Filmförderung stabilisieren.

Wir begrüßen Konzepte verschiedener kultureller Sparten wie Museen, Theater, Orchester, Musikspielstätten, Clubs und soziokulturelle Zentren zur schrittweisen Wiedereröffnung. Für einen erfolgreichen Neustart des Kultur- und Medienbetriebs ist ein abgestimmtes Vorgehen von Bund und Ländern erforderlich.

Auch die Auswärtige Kultur- und Bildungspolitik gilt es zu stärken und im Rahmen der deutschen EU-Ratspräsidentschaft das europäische Solidaritätsgefühl und die Digitalstrategie festigen. 

Wir begrüßen es, dass unser Bundesfinanzminister Olaf Scholz angekündigt hat, ein Programm für Kulturschaffende auf den Weg zu bringen. Ein solches Programm wird ein weiterer wichtiger Baustein sein, um im Bereich von Kunst, Kultur und Medien die Auswirkungen der Pandemie abzumildern.

Die SPD-Bundestagsfraktion setzt sich dafür ein, dass die Kultur- und Medienschaffenden unbürokratisch und nachhaltig unterstützt werden. Denn Solidarität sind nicht nur in dieser schweren Zeit die wichtigsten Mittel für eine soziale Gesellschaft.“","Martin Rabanus, kultur- und medienpolitischer Sprecher:",Martin Rabanus,", kultur- und medienpolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,13.05.2020,19. Wahlperiode,128,Kultur und Medien,Martin Rabanus,Kultur,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/positionspapier-konkrete-hilfe-kunst-kultur-medien-corona-pandemie
Dringender Handlungsbedarf bei Verhinderung von Zoonosen,"Carsten Träger, umweltpolitischer Sprecher:

Zur Reduzierung weiterer Zoonosen braucht es wichtige Vorsorgemaßnahmen: Ein Verbot mit engen Ausnahmen von Wildtiermärkten, auf denen tote oder lebende Wildtiere zum Verzehr angeboten werden sowie die Eindämmung des unkontrollierten illegalen Wildtierhandels. Sie wären auch gleichzeitig ein Fortschritt für den Artenschutz sowohl wegen der Eindämmung des lokalen Handels als auch wegen der Verringerung der internationalen Nachfrage. Beide Faktoren können negative Auswirkungen auf gefährdete Arten und Ökosysteme haben.

„75 Prozent der neuen menschlichen Infektionskrankheiten werden von Tieren übertragen, ein Großteil davon von Wildtieren. Das machte das heutige Fachgespräch ‚Zoonosen - Ursache, Verbreitung, Vorbeugung‘ im Umweltausschuss deutlich. Verantwortlich hierfür sind das immer weitere Eindringen des Menschen in entlegene Regionen, Wildtiermärkte und der internationale Wildtierhandel. Der Mensch kommt immer näher mit Wildtieren in Kontakt und trifft auf Erreger, die neu für sein Immunsystem und damit potentiell gefährlich sind.

Bei den nächsten Konferenzen über die Konvention zur Biologischen Vielfalt (CBD) und über das internationale Artenschutzabkommen muss daher der Fokus auf den Gesundheitsschutz gelegt werden. Außerdem muss über ein Verbot mit engen Ausnahmen von Wildtiermärkten für den Verzehr verhandelt werden und die Einfuhr von in einem anderen Staat geschützter Arten verboten werden (Lacey Act).

Darüber hinaus muss die internationale Debatte mit dem Ziel der Erarbeitung eines Protokolls zur Bekämpfung von Wildtierkriminalität unter der Konvention gegen Transnationale Organisierte Kriminalität weitergeführt werden.“","Carsten Träger, umweltpolitischer Sprecher:",Carsten Träger,", umweltpolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,13.05.2020,19. Wahlperiode,127,"Umwelt, Naturschutz und nukleare Sicherheit",Carsten Träger,"Umwelt, Naturschutz",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/dringender-handlungsbedarf-verhinderung-zoonosen
Wasserstoffstrategie: nachhaltige Transformation der Wirtschaft vorantreiben,"Bernd Westphal, wirtschafts- und energiepolitischer Sprecher;Klaus Mindrup, zuständiger Berichterstatter;Andreas Rimkus, zuständiger Berichterstatter:

Die SPD-Bundestagsfraktion hat am 12.05.2020 ihre Eckpunkte für eine nachhaltige Wasserstoffstrategie beschlossen und setzt damit ambitionierte Maßstäbe für den Aufbau einer Wasserstoffwirtschaft, die dem Klima, der Wirtschaft und den Bürgerinnen und Bürgern dient.

„Mit den beschlossenen Eckpunkten setzen wir den Rahmen für eine Wasserstoffwirtschaft, die in Verbindung mit einem ambitionierten Ausbau der Erneuerbaren Energien einen Beitrag für die nachhaltige Transformation in allen Sektoren leisten kann und zugleich starke Impulse für nationale Wertschöpfung sendet.

Schon bis 2030 wird Wasserstoff eine entscheidende Rolle im deutschen und europäischen Energie- und Wirtschaftssystem einnehmen. Daraus ergibt sich nicht nur erhebliches Potenzial für effektiven Klimaschutz, sondern auch für die Bewältigung der wirtschaftlichen Folgen der Covid-19-Krise und zur Stärkung der Konjunktur.

Um diese Entwicklung schnell voranzutreiben, soll bis 2030 der Aufbau von Elektrolyseleistung im Umfang von mindestens zehn Gigawatt für die nationale Produktion von erneuerbarem Wasserstoff gefördert werden. Dazu kommt der Import von Wasserstoff. Damit können etwa Brennstoffzellenfahrzeuge auf Straße und Schiene, Brennstoffzellenheizungen im Gebäudebereich oder Industrieprozesse, wie beispielsweise die Stahlproduktion mit Erneuerbarer Energie versorgt werden. Darüber hinaus können aus dem Wasserstoff hergestellte synthetische Brenn- und Kraftstoffe auch im Bestand von Fahrzeugen, Flugzeugen und Heizsystemen eingesetzt werden, die bisher fossil betrieben werden.

Um den zusätzlichen Strombedarf für die Wasserstoffproduktion zu decken, muss der Ausbau der Erneuerbaren Energien deutlich forciert, kontinuierlich überprüft und entsprechend angepasst werden. Er ist und bleibt das Fundament einer erfolgreichen, nachhaltigen und sozialverträglichen Energiewende.

Der Aufbau der Wasserstoffwirtschaft muss dabei immer auch europäisch und international gedacht und koordiniert werden. Deutschland wird im Rahmen der EU-Ratspräsidentschaft diesen Prozess vorantreiben und auf eine enge Verzahnung mit dem Europäischen Social Green Deal hinarbeiten.“","Bernd Westphal, wirtschafts- und energiepolitischer Sprecher;Klaus Mindrup, zuständiger Berichterstatter;Andreas Rimkus, zuständiger Berichterstatter:",Bernd Westphal,", wirtschafts- und energiepolitischer Sprecher;Klaus Mindrup, zuständiger Berichterstatter;Andreas Rimkus, zuständiger Berichterstatter:",NA,NA,NA,NA,NA,NA,NA,13.05.2020,19. Wahlperiode,126,Wirtschaft und Energie,"Bernd Westphal, Klaus Mindrup, Andreas Rimkus","Energie, Klimaschutz",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/wasserstoffstrategie-nachhaltige-transformation-wirtschaft-vorantreiben
Hilfen für pflegende Angehörige in Sicht,"Sönke Rix, familienpolitischer Sprecher:

Die SPD-Bundestagsfraktion begrüßt die Einigung der Koalitionsfraktionen zugunsten von pflegenden Angehörigen. Sie bekommen in Zukunft doppelt so lange Pflegeunterstützungsgeld und können leichter Pflegezeit und Familienpflegezeit in Anspruch nehmen.

„Drei von vier Pflegebedürftigen in Deutschland werden zu Hause versorgt. Ihre Angehörigen leisten Herausragendes für die Pflegebedürftigen und unsere Gesellschaft insgesamt. Von den Auswirkungen der aktuellen Corona-Pandemie sind sie besonders betroffen. Um pflegende Angehörige in dieser Zeit zu unterstützen, haben wir Sozialdemokratinnen und Sozialdemokraten wichtige Verbesserungen bereits bestehender Instrumente erreicht.

Das Pflegeunterstützungsgeld soll befristet für bis zu zwanzig Arbeitstage pro Pflegebedürftigen in Anspruch genommen werden können.

Für die Ankündigung von Pflegezeit und Familienpflegezeit soll eine einheitliche Ankündigungsfrist von zehn Arbeitstagen gelten. Wird oder wurde eine Freistellung in der Vergangenheit für einen kürzeren Zeitraum in Anspruch genommen, soll der verbleibende Zeitraum auch zu einem späteren Zeitpunkt in Anspruch genommen werden können. Ein vorübergehendes Unterschreiten der wöchentlichen Mindestarbeitszeit von 15 Wochenstunden soll bei der Familienpflegezeit möglich sein.

Wir Sozialdemokratinnen und Sozialdemokraten haben die schwierigen Lebenslagen der mehr als 2,5 Millionen pflegenden Angehörigen fest im Blick. Weil ohne sie Pflege in Deutschland undenkbar wäre, arbeiten wir langfristig an weiteren Lösungen, zum Beispiel an einem Familienpflegegeld, als Lohnersatzleistung analog zum Elterngeld.“","Sönke Rix, familienpolitischer Sprecher:",Sönke Rix,", familienpolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,13.05.2020,19. Wahlperiode,125,"Familie, Senioren, Frauen und Jugend",Sönke Rix,"Familien, Senioren",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/hilfen-pflegende-angehoerige-sicht
Keine Auslieferung von Julian Assange an die USA,"Frank Schwabe, menschenrechtspolitischer Sprecher:

Der UN-Sonderbeauftragte für Folter Nils Melzer wird dem Menschenrechtsausschuss morgen zu Julian Assange berichten. Eine Auslieferung von Julian Assange an die USA wäre aus Sicht der SPD-Bundestagsfraktion ein fatales Signal.

„Im Herbst soll das auf Ersuchen der USA eingeleitete Auslieferungsverfahren fortgeführt werden. Nun muss die britische Justiz alle Zweifel an der Rechtsstaatlichkeit des Verfahrens gegen Julian Assange ausräumen. Der Ausgang des Verfahrens wird wegweisend sein für den zukünftigen Umgang mit Whistleblowern und den Stellenwert der Pressefreiheit. Eine Auslieferung von Julian Assange an die USA wäre ein fatales Signal. Zudem muss der Gesundheitszustand von Julian Assange berücksichtigt und eine Freilassung aus humanitären Gründen erwogen werden.“","Frank Schwabe, menschenrechtspolitischer Sprecher:",Frank Schwabe,", menschenrechtspolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,12.05.2020,19. Wahlperiode,124,Menschenrechte und humanitäre Hilfe,Frank Schwabe,Menschenrechte,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/keine-auslieferung-julian-assange-usa
Dirk Wiese zum stellvertretenden Fraktionsvorsitzenden gewählt,"Der Pressesprecher der SPD-Bundestagsfraktion, Ali von Wangenheim, teilt mit:

Die SPD-Bundestagsfraktion hat in ihrer heutigen Sitzung einen neuen Stellvertretenden Fraktionsvorsitzenden, für den Bereich Innen, Recht und Verbraucherschutz, Kultur und Medien, Sport, Wahlprüfung, Immunität und Geschäftsordnung, gewählt. Die Aufgabe übernimmt:

Dirk Wiese, MdB

Er wurde mit 88,2 Prozent der Stimmen gewählt und tritt die Nachfolge von Eva Högl an, die in der vergangenen Woche zur neuen Wehrbeauftragten des Deutschen Bundestages gewählt wurde.","Der Pressesprecher der SPD-Bundestagsfraktion, Ali von Wangenheim, teilt mit:","Der Pressesprecher der SPD-Bundestagsfraktion, Ali von Wangenheim, teilt mit:",NA,NA,NA,NA,NA,NA,NA,NA,12.05.2020,19. Wahlperiode,123,"Kultur und Medien, Sport, Recht und Verbraucherschutz",Dirk Wiese (Stellvertretender Fraktionsvorsitzender),PDF,NA,NA,https://www.spdfraktion.de/presse/pressemitteilungen/dirk-wiese-stellvertretenden-fraktionsvorsitzenden-gewaehlt
Neuwahl Sprecher Arbeitsgruppe Haushalt,"Neuwahl Sprecher Arbeitsgruppe Haushalt

Der Pressesprecher der SPD-Bundestagsfraktion, Ali von Wangenheim, teilt mit:

Die SPD-Bundestagsfraktion hat in ihrer heutigen Sitzung den Sprecher für die Ausschussarbeitsgruppe Haushalt einstimmig neu gewählt. Die Aufgabe übernimmt:

Dennis Rohde, MdB

Er tritt die Nachfolge von Johannes Kahrs an.",Neuwahl Sprecher Arbeitsgruppe Haushalt,"Der Pressesprecher der SPD-Bundestagsfraktion, ", teilt mit:,NA,NA,NA,NA,NA,NA,NA,12.05.2020,19. Wahlperiode,122,Haushalt,Dennis Rohde,Bundeshaushalt,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/neuwahl-sprecher-arbeitsgruppe-haushalt
Digitaler und flexibler: Sozialversicherungen passen sich der modernen Arbeitswelt an,"Gabriele Hiller-Ohm, zuständige Berichterstatterin,

Michael Gerdes, zuständiger Berichterstatter:

Mit dem siebten SGB IV-Änderungsgesetz, das heute vom Deutschen Bundestag verabschiedet wurde, verbessern, vereinfachen und entbürokratisieren wir Abläufe in der Arbeitslosen- und Krankenversicherung, der Rentenversicherung sowie in der Pflege- und Unfallversicherung.

„Mit den Sozialversicherungen kommen wir alle früher oder später in Kontakt, oft verbunden mit viel Papierkram und Bürokratie. Das muss nicht sein. Deshalb digitalisieren wir mit dem siebten SGB IV-Änderungsgesetz eine Reihe von Vorgängen wie etwa den elektronischen Abruf der Arbeitsunfähigkeitsbescheinigung durch die Krankenkassen oder die Ausweitung der vollelektronischen A1-Bescheinigung bei Dienstreisen innerhalb der EU. Insgesamt entlasten wir mit diesen und vielen weiteren Maßnahmen die Wirtschaft um etwa 139 Millionen Euro und die Verwaltung um etwa 54 Millionen Euro jährlich. Bürgerinnen und Bürgern ersparen wir etwa vier Millionen Stunden Arbeitszeit im Jahr. Weitere wichtige Neuerungen sind die Sozialversicherungspflicht für praxisorientierte Ausbildungen, wie zum Beispiel Erzieherinnen und Erzieher sowie die Regelung für Pensionskassen, die Betriebsrenten besser im Pensions-Sicherungs-Verein gegen Kürzungen und Insolvenz absichert.

Wir begrüßen vor allem den Wegfall des Unterlassungszwangs bei Berufskrankheiten. Künftig können Arbeitnehmerinnen und Arbeitnehmer ihr Recht auf Entschädigung einfordern ohne die krank machende Tätigkeit aufgeben zu müssen. Das ist eine erhebliche Verbesserung, denn so muss niemand während des Verfahrens auf Anerkennung einer Berufskrankheit Lohneinbußen hinnehmen. Auch die Stärkung des Ärztlichen Sachverständigenbeirats ist ein Schritt in die richtige Richtung, verbunden mit der Überzeugung, dass arbeitsmedizinische Erkenntnisse intensiver debattiert werden und arbeitsbedingte Krankheitsbilder schneller als bisher auf die Berufskrankheitenliste gesetzt werden.""","Gabriele Hiller-Ohm, zuständige Berichterstatterin,",Gabriele Hiller-Ohm,", zuständige Berichterstatterin,",Michael Gerdes,", zuständiger Berichterstatter:",NA,NA,NA,NA,NA,07.05.2020,19. Wahlperiode,121,Arbeit und Soziales,"Gabriele Hiller-Ohm, Michael Gerdes","Soziales, Gesundheit",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/digitaler-flexibler-sozialversicherungen-passen-modernen-arbeitswelt
Bund und Länder beschließen Lockerungen im Breitensport,"Detlev Pilger, sportpolitischer Sprecher:

Der Sport- und Trainingsbetrieb im Breitensport soll im Freien und unter Beachtung der Corona-Regeln wieder aufgenommen werden dürfen. Dieser Beschluss der Telefonschaltkonferenz gestern zwischen der Bundeskanzlerin und den Länderchefs ist eine gute Nachricht für die Vereine sowie den Breiten- und Freizeitsportlern.

„Nach Wochen des Stillstands durch die Corona-Pandemie darf in den einzelnen Disziplinen mit Einschränkungen wieder trainiert werden. Training und Spiele in voller Teamstärke sollen erst am Ende der Corona-Krise wieder möglich sein, weshalb zunächst in Kleinstgruppen trainiert wird. Bedingung für die Wiederaufnahme des vereinsbasierten Sportbetriebs ist die strikte Einhaltung der Corona bedingten Regeln: So muss eine Distanz von mindestens 1,5 Metern gewährleistet sein, der Sport muss kontaktfrei ausgeübt und die Hygiene- und Desinfektionsmaßnahmen, vor allem bei der gemeinsamen Nutzung von Sportgeräten, konsequent eingehalten werden. Kontaktsportarten wie Jodo oder Ringen sind vor dem Hintergrund der Bestimmungen weiterhin nicht erlaubt.

Auch die viel diskutierte Corona-Zwangspause der Fußball-Bundesliga findet voraussichtlich noch in diesem Monat ein Ende. Die Deutsche Fußball Liga (DFL) hatte ein umfassendes Hygiene- und Sicherheitskonzept vorgelegt, um die Ansteckungsgefahr mit dem Coronavirus unter Spielern und Zuschauern zu minimieren. Der Versuch von Geisterspielen kann nur gelingen, wenn sich alle Beteiligten auch strikt daran halten. Die DFL darf den Vertrauensvorschuss der Politik und Gesundheitsämtern nicht achtlos verspielen.“","Detlev Pilger, sportpolitischer Sprecher:",Detlev Pilger,", sportpolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,07.05.2020,19. Wahlperiode,120,Sport,Detlev Pilger,Sport,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/bund-laender-beschliessen-lockerungen-breitensport
